ExpID,PublicationID,PublicationName,IonExpNum,Cells,CellClass,CellOrigin,CellCycle,DNAcontent,PhotonRadiation,PhotonExpNum,Ion,Charge,IrradiationConditions,LET,Energy,ax_paper,bx_paper,ai_paper,bi_paper,ax_fit,bx_fit,ai_fit,bi_fit
68,6,folkard96,7,V79,n,r,a,5.6,240kVp,1,2H,1,m,49.8,0.465,0.13,0.048,1.23,0.0,0.132916965244881,0.0497217887578023,1.25098855470428,0.0
69,6,folkard96,8,V79,n,r,a,5.6,240kVp,1,3He,2,m,58.9,2.3,0.13,0.048,1.24,0.0,0.132916965244881,0.0497217887578023,1.4358529595655,-0.045015518434028
70,6,folkard96,9,V79,n,r,a,5.6,240kVp,1,3He,2,m,88.3,1.39,0.13,0.048,1.44,0.0,0.132916965244881,0.0497217887578023,1.79462901522091,-0.104260234541158
71,6,folkard96,10,V79,n,r,a,5.6,240kVp,1,3He,2,m,105.8,1.13,0.13,0.048,1.33,0.0,0.132916965244881,0.0497217887578023,1.59057334273726,-0.076185789141478
72,7,eguchi96,1,irs1,n,r,a,5.6,200kVp,1,4He,2,m,18.0,9.97,,,,,0.744071448699829,0.0292316172910865,0.738438957561975,0.0
73,7,eguchi96,2,irs2,n,r,a,5.6,200kVp,2,4He,2,m,18.0,9.97,,,,,0.633416621618974,0.0570462793626377,0.931182721628614,0.0
74,7,eguchi96,3,L5178Y,n,r,a,5.6,200kVp,3,4He,2,m,18.0,9.97,,,,,0.165799380068184,0.0311236222225658,0.459155992260668,0.0913188692143727
75,7,eguchi96,4,M10,n,r,a,5.6,200kVp,4,4He,2,m,18.0,9.97,,,,,1.17246780811534,0.0314673176523008,1.50103554774335,0.609122142417761
76,7,eguchi96,5,L5178Y,n,r,a,5.6,200kVp,3,4He,2,m,47.0,3.1,,,,,0.165799380068184,0.0311236222225658,1.45426930541722,0.0
77,7,eguchi96,6,M10,n,r,a,5.6,200kVp,4,4He,2,m,47.0,3.1,,,,,1.17246780811534,0.0314673176523008,2.86895215530804,0.0
78,7,eguchi96,7,irs1,n,r,a,5.6,200kVp,1,12C,6,m,235.0,6.43,,,,,0.744071448699829,0.0292316172910865,1.8704314859399,-0.19346082015998
79,7,eguchi96,8,irs2,n,r,a,5.6,200kVp,2,12C,6,m,235.0,6.43,,,,,0.633416621618974,0.0570462793626377,1.53800483439107,-0.0372041998853152
